127.0.0.1 - - [12/May/2018:16:45:52 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/May/2018:19:15:30 +0800] "GET /jingDong/showAddSupplierPage HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [12/May/2018:19:15:37 +0800] "GET /jingDong/showMOrder HTTP/1.1" 200 8181
0:0:0:0:0:0:0:1 - - [12/May/2018:19:15:37 +0800] "GET /jingDong/images/adeef271-dbd5-4860-9436-367acd5c605c.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [12/May/2018:19:15:37 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/showManage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/showLogin HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/bootstrap/js/jquery.min.js HTTP/1.1" 200 95966
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/css/loginStyle.css HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/images/QQ-weixin.png HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/images/q-icon.png HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/images/pwd-icons-new.png HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/images/5938aad9N3407087a.jpg HTTP/1.1" 200 192431
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /jingDong/images/icon.png HTTP/1.1" 200 12105
0:0:0:0:0:0:0:1 - - [12/May/2018:19:19:51 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:20 +0800] "POST /jingDong/doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:20 +0800] "GET /jingDong/showMain HTTP/1.1" 200 11423
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:20 +0800] "GET /jingDong/header HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:20 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:28 +0800] "GET /jingDong/showManage HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:28 +0800] "GET /jingDong/MHeader HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:28 +0800] "GET /jingDong/MFooter HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:28 +0800] "GET /jingDong/showMProduct HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:28 +0800] "GET /jingDong/managePicture/983e0485-3aca-4125-a44e-b0f517df7e1f.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:28 +0800] "GET /jingDong/managePicture/adeef271-dbd5-4860-9436-367acd5c605c.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:28 +0800] "GET /jingDong/MLeft HTTP/1.1" 200 4334
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:30 +0800] "GET /jingDong/showMSupplier HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:41 +0800] "GET /jingDong/showMSupplier HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:43 +0800] "GET /jingDong/showMOrder HTTP/1.1" 200 8181
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:43 +0800] "GET /jingDong/images/adeef271-dbd5-4860-9436-367acd5c605c.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:43 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:44 +0800] "GET /jingDong/showMSupplier HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:46 +0800] "GET /jingDong/showMOrder HTTP/1.1" 200 8181
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:46 +0800] "GET /jingDong/images/adeef271-dbd5-4860-9436-367acd5c605c.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:46 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:20:46 +0800] "GET /jingDong/images/adeef271-dbd5-4860-9436-367acd5c605c.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:28 +0800] "GET /jingDong/showOrder HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:28 +0800] "GET /jingDong/images/logoOrder.png HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:28 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:31 +0800] "GET /jingDong/showOrder HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:31 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:32 +0800] "GET /jingDong/showOrder HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:32 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:35 +0800] "GET /jingDong/showCart HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:35 +0800] "GET /jingDong/css/cartStyle.css HTTP/1.1" 200 9796
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:35 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:35 +0800] "GET /jingDong/images/jiesuan.png HTTP/1.1" 200 4065
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:35 +0800] "GET /jingDong/images/jingdonggouwuche.png HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:35 +0800] "GET /jingDong/images/price-tips.png HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:39 +0800] "GET /jingDong/showCart HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:39 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:41 +0800] "GET /jingDong/showOrder HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:41 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:44 +0800] "GET /jingDong/showMain HTTP/1.1" 200 11423
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:44 +0800] "GET /jingDong/header HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:44 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:46 +0800] "POST /jingDong/reci HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/May/2018:19:24:46 +0800] "POST /jingDong/reci HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/May/2018:19:25:03 +0800] "GET /jingDong/showType HTTP/1.1" 200 21303
0:0:0:0:0:0:0:1 - - [12/May/2018:19:25:03 +0800] "GET /jingDong/bootstrap/js/%20bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [12/May/2018:19:25:03 +0800] "GET /jingDong/css/typeStyle.css HTTP/1.1" 200 11071
0:0:0:0:0:0:0:1 - - [12/May/2018:19:25:03 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:19:25:09 +0800] "GET /jingDong/list?bId=8 HTTP/1.1" 200 2307
0:0:0:0:0:0:0:1 - - [12/May/2018:19:25:09 +0800] "GET /jingDong/css/bookLieBiaoStyle.css HTTP/1.1" 200 1534
0:0:0:0:0:0:0:1 - - [12/May/2018:19:25:09 +0800] "GET /jingDong/header HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [12/May/2018:19:25:09 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:14 +0800] "GET /jingDong/showMSupplier HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:21 +0800] "GET /jingDong/showOrder HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:21 +0800] "GET /jingDong/showLogin HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:22 +0800] "POST /jingDong/doLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:22 +0800] "GET /jingDong/showMain HTTP/1.1" 200 11423
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:22 +0800] "GET /jingDong/header HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:22 +0800] "GET /jingDong/footer HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:24 +0800] "GET /jingDong/showMSupplier HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/showManage HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/jquery.min.js HTTP/1.1" 200 95966
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/MFooter HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/MLeft HTTP/1.1" 200 4334
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/MHeader HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/showMProduct HTTP/1.1" 200 8020
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/jquery.min.js HTTP/1.1" 200 95966
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/jquery.min.js HTTP/1.1" 200 95966
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/jquery.min.js HTTP/1.1" 200 95966
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/jquery.min.js HTTP/1.1" 200 95966
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/983e0485-3aca-4125-a44e-b0f517df7e1f.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/adeef271-dbd5-4860-9436-367acd5c605c.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/liebiao4.jpg HTTP/1.1" 200 8723
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/liebiao5.jpg HTTP/1.1" 200 9945
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/liebiao7.jpg HTTP/1.1" 200 9200
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/liebiao6.jpg HTTP/1.1" 200 10454
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/liebiao3.jpg HTTP/1.1" 200 11823
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/liebiao2.jpg HTTP/1.1" 200 38668
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/liebiao8.jpg HTTP/1.1" 200 9438
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /jingDong/managePicture/liebiao9.jpg HTTP/1.1" 200 9761
0:0:0:0:0:0:0:1 - - [12/May/2018:20:42:27 +0800] "GET /favicon.ico HTTP/1.1" 404 973
