what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525527819736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525527836092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525527858716
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1525527860673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525527942338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525527986992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525527987554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525527987854
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1525528023232
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/jingDong",1525528023232
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1525528072341
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1525528073044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1525528074162
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1525528085201
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1525528085463
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1525528086184
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1525528088522
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1525528093291
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1525528094412
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1525528096435
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1525528096511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525528103839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525528123610
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1525528124834
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1525528125044
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1525528125124
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1525528126512
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1525528126712
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1525528126802
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525528135735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525528162035
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525528166936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525528167686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525528182238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525528187435
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1525528187583
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1525528187592
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1525528187663
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1525528187703
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1525528187872
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1525528188103
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1525528188163
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525528188306
