what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1525776609248
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1525776609258
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1525776609338
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1525776609636
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1525776609816
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1525776609946
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1525776609976
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525776610093
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525776610533
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1525776610613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776631588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776737233
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525776741445
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1525776744567
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1525776745240
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1525776745270
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1525776745310
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1525776746171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776750635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776796251
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1525776798562
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525776800616
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525776800776
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1525776812611
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525776814845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1525776816726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1525776818346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1525776845338
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1525776851641
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1525776868024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1525776869089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776871695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776892927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1525776907342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776908285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776909351
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1525776912107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1525776914509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1525776916786
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1525776918551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1525776919506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776921207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525776982032
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525776988615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1525777009344
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525777012796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525782022377
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525782022437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525782025251
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525782183072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525782189736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525782210385
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1525782210425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525782213542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525782215529
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1525782231058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1525782335768
